Dis No,Year,Disaster Group,Disaster Subgroup,Disaster Type,Entry Criteria,Country,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),CPI
1978-0106-THA,1978,Natural,Hydrological,Flood,Kill,Thailand,96,400,1628000,,1628400,400000,25.51591532
1964-0063-VNM,1964,Natural,Meteorological,Storm,Kill,Viet Nam,7000,,700000,,700000,50000,12.13211749
1964-0004-VNM,1964,Natural,Biological,Epidemic,Kill,Viet Nam,598,,10848,,10848,,12.13211749
1964-0102-VNM,1964,Natural,Hydrological,Flood,Kill,Viet Nam,400,,,,,,12.13211749
1966-0070-VNM,1966,Natural,Hydrological,Flood,Kill,Viet Nam,31,,125541,70361,195902,10000,12.69602817
1970-0059-VNM,1970,Natural,Hydrological,Flood,Kill,Viet Nam,237,,204000,,204000,,15.18633546
1971-0029-VNM,1971,Natural,Meteorological,Storm,Kill,Viet Nam,23,,50000,,50000,,15.83825463
1971-0057-VNM,1971,Natural,Meteorological,Storm,Kill,Viet Nam,89,,,,,,15.83825463
1973-0047-VNM,1973,Natural,Meteorological,Storm,Kill,Viet Nam,100,,150000,,150000,,17.36698602
1977-0088-VNM,1977,Natural,Meteorological,Storm,Affect,Viet Nam,,,1000,,1000,,23.706851
1978-0105-VNM,1978,Natural,Hydrological,Flood,Kill,Viet Nam,74,,4000000,79000,4079000,,25.51591532
1978-9002-IDN,1978,Natural,Climatological,Drought,,Indonesia,63,,17220,,17220,1200,25.51591532
1978-0138-IDN,1978,Natural,Hydrological,Flood,Affect,Indonesia,,,200000,,200000,,25.51591532
1978-0142-IDN,1978,Natural,Hydrological,Flood,Affect,Indonesia,8,,51600,15000,66600,,25.51591532
1978-0139-MYS,1978,Natural,Hydrological,Flood,Affect,Malaysia,,,3000,,3000,,25.51591532
1978-0169-PHL,1978,Natural,Hydrological,Landslide,Kill,Philippines (the),22,7,,,7,,25.51591532
1978-0124-PHL,1978,Natural,Meteorological,Storm,Kill,Philippines (the),59,,50000,,50000,,25.51591532
1978-0126-PHL,1978,Natural,Meteorological,Storm,Kill,Philippines (the),340,749,1500000,,1500749,115000,25.51591532
1978-0158-PHL,1978,Natural,Meteorological,Storm,Kill,Philippines (the),66,47,64638,17157,81842,33254,25.51591532
1978-0159-PHL,1978,Natural,Meteorological,Storm,Kill,Philippines (the),49,12,42402,,42414,3515,25.51591532
1978-0160-PHL,1978,Natural,Meteorological,Storm,Kill,Philippines (the),47,4,150331,608,150943,11809,25.51591532
1978-0161-PHL,1978,Natural,Meteorological,Storm,Kill,Philippines (the),32,20,18735,5146,23901,13989,25.51591532
1978-0162-PHL,1978,Natural,Meteorological,Storm,Kill,Philippines (the),24,2,6182,,6184,11893,25.51591532
1978-0165-PHL,1978,Natural,Meteorological,Storm,Affect,Philippines (the),,,381,,381,624,25.51591532
1978-9167-PHL,1978,Natural,Climatological,Drought,,Philippines (the),,,3665,,3665,,25.51591532
1978-0168-PHL,1978,Natural,Hydrological,Flood,Affect,Philippines (the),,,1500,,1500,,25.51591532
1979-0086-IDN,1979,Natural,Geophysical,Earthquake,Affect,Indonesia,2,5,5000,,5005,,28.3875989
1979-0066-IDN,1979,Natural,Geophysical,Earthquake,Kill,Indonesia,539,23,,,23,,28.3875989
1979-0054-IDN,1979,Natural,Geophysical,Earthquake,Kill,Indonesia,34,48,18000,18000,36048,4150,28.3875989
1979-0102-IDN,1979,Natural,Geophysical,Earthquake,Kill,Indonesia,26,200,43000,,43200,16000,28.3875989
1979-0114-IDN,1979,Natural,Geophysical,Earthquake,Affect,Indonesia,5,,1500,,1500,,28.3875989
1979-0115-IDN,1979,Natural,Geophysical,Earthquake,Kill,Indonesia,32,619,,,619,,28.3875989
1979-0027-IDN,1979,Natural,Geophysical,Volcanic activity,Kill,Indonesia,175,1000,17000,10000,28000,,28.3875989
1979-0269-IDN,1979,Natural,Geophysical,Volcanic activity,Kill,Indonesia,82,,,,,,28.3875989
1979-0262-IDN,1979,Natural,Hydrological,Landslide,Kill,Indonesia,23,6,,,6,,28.3875989
1979-0028-IDN,1979,Natural,Hydrological,Flood,Kill,Indonesia,128,350,20000,4000,24350,3200,28.3875989
1979-0046-IDN,1979,Natural,Hydrological,Flood,Affect,Indonesia,23,,4500,,4500,,28.3875989
1979-0057-IDN,1979,Natural,Hydrological,Flood,Kill,Indonesia,13,,6000,,6000,,28.3875989
1979-0023-MMR,1979,Natural,Climatological,Wildfire,Affect,Myanmar,,,30000,,30000,11000,28.3875989
1979-0092-MMR,1979,Natural,Hydrological,Flood,Affect,Myanmar,,,10000,,10000,,28.3875989
1979-0138-PHL,1979,Natural,Hydrological,Flood,Affect,Philippines (the),,,16000,,16000,6983,28.3875989
1979-0040-PHL,1979,Natural,Meteorological,Storm,Kill,Philippines (the),18,49,480000,44500,524549,10000,28.3875989
1979-0077-PHL,1979,Natural,Meteorological,Storm,Affect,Philippines (the),6,1,,10000,10001,,28.3875989
1979-0133-PHL,1979,Natural,Meteorological,Storm,Kill,Philippines (the),24,5,34098,7035,41138,6100,28.3875989
1979-0134-PHL,1979,Natural,Meteorological,Storm,Affect,Philippines (the),8,,3722,,3722,9733,28.3875989
1979-0137-PHL,1979,Natural,Meteorological,Storm,Affect,Philippines (the),6,1,6110,,6111,617,28.3875989
1980-0088-IDN,1980,Natural,Geophysical,Earthquake,Affect,Indonesia,,,20000,,20000,,32.23389323
1980-0317-IDN,1980,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,52235,,52235,,32.23389323
1980-0105-IDN,1980,Natural,Hydrological,Landslide,Kill,Indonesia,100,10,,3000,3010,,32.23389323
1980-0315-IDN,1980,Natural,Meteorological,Storm,Affect,Indonesia,,,,800,800,,32.23389323
1980-0110-IDN,1980,Natural,Hydrological,Flood,Kill,Indonesia,153,,2946,,2946,3400,32.23389323
1980-0314-PHL,1980,Natural,Geophysical,Mass movement (dry),Kill,Philippines (the),50,,,,,,32.23389323
1980-0010-PHL,1980,Natural,Hydrological,Flood,Affect,Philippines (the),2,,25980,,25980,,32.23389323
1980-0067-PHL,1980,Natural,Meteorological,Storm,Kill,Philippines (the),31,,300000,300000,600000,15400,32.23389323
1980-0070-PHL,1980,Natural,Meteorological,Storm,Kill,Philippines (the),40,,190000,,190000,,32.23389323
1980-0099-PHL,1980,Natural,Meteorological,Storm,Kill,Philippines (the),101,,775000,229000,1004000,102300,32.23389323
1980-0132-PHL,1980,Natural,Meteorological,Storm,Affect,Philippines (the),4,,565,100,665,402,32.23389323
1980-0133-PHL,1980,Natural,Meteorological,Storm,Affect,Philippines (the),,,2535,528,3063,289,32.23389323
1980-0136-PHL,1980,Natural,Meteorological,Storm,Kill,Philippines (the),36,55,58731,10451,69237,,32.23389323
1980-9364-PHL,1980,Natural,Climatological,Drought,Affected,Philippines (the),,,1002100,,1002100,,32.23389323
1981-0025-IDN,1981,Natural,Geophysical,Earthquake,Kill,Indonesia,306,,2682,,2682,5000,35.56517152
1981-0272-IDN,1981,Natural,Geophysical,Volcanic activity,Kill,Indonesia,192,,,5000,5000,,35.56517152
1981-0113-IDN,1981,Natural,Hydrological,Flood,Affect,Indonesia,9,,206000,6000,212000,,35.56517152
1981-0096-IDN,1981,Natural,Hydrological,Landslide,Affect,Indonesia,,,6000,,6000,,35.56517152
1981-0051-IDN,1981,Natural,Hydrological,Flood,Kill,Indonesia,500,,,,,2200,35.56517152
1981-0235-IDN,1981,Natural,Hydrological,Flood,Affect,Indonesia,,,140000,,140000,,35.56517152
1981-0011-LAO,1981,Natural,Hydrological,Flood,OFDA,Lao People's Democratic Republic (the),,,,,,,35.56517152
1981-0045-MMR,1981,Natural,Climatological,Wildfire,Affect,Myanmar,8,,28588,20000,48588,,35.56517152
1981-0150-PHL,1981,Natural,Hydrological,Flood,Kill,Philippines (the),125,122,,,122,,35.56517152
1981-0293-PHL,1981,Natural,Hydrological,Landslide,Kill,Philippines (the),200,,,,,,35.56517152
1981-0062-PHL,1981,Natural,Meteorological,Storm,Affect,Philippines (the),,,25000,3500,28500,,35.56517152
1981-0083-PHL,1981,Natural,Meteorological,Storm,Kill,Philippines (the),55,,18565,3340,21905,6700,35.56517152
1981-0101-PHL,1981,Natural,Meteorological,Storm,Kill,Philippines (the),261,95,840078,,840173,35000,35.56517152
1981-0112-PHL,1981,Natural,Meteorological,Storm,Kill,Philippines (the),250,,180000,,180000,26000,35.56517152
1981-0134-PHL,1981,Natural,Meteorological,Storm,Kill,Philippines (the),210,36,12086,3356,15478,7609,35.56517152
1981-0136-PHL,1981,Natural,Meteorological,Storm,Affect,Philippines (the),5,,8526,1195,9721,12908,35.56517152
1981-0138-PHL,1981,Natural,Meteorological,Storm,Affect,Philippines (the),4,6,5663,67,5736,167,35.56517152
1981-0007-PHL,1981,Natural,Hydrological,Flood,Kill,Philippines (the),228,,300000,,300000,27000,35.56517152
1981-0060-PHL,1981,Natural,Meteorological,Storm,Kill,Philippines (the),214,32,,,32,2000,35.56517152
1981-0097-PHL,1981,Natural,Hydrological,Flood,Affect,Philippines (the),,,7500,,7500,,35.56517152
1982-0128-IDN,1982,Natural,Geophysical,Earthquake,Kill,Indonesia,13,417,6400,2000,8817,1450,37.74582208
1982-0031-IDN,1982,Natural,Geophysical,Earthquake,Affect,Indonesia,,,15000,,15000,3500,37.74582208
1982-9007-IDN,1982,Natural,Climatological,Drought,,Indonesia,280,,,,,,37.74582208
1982-0047-IDN,1982,Natural,Geophysical,Volcanic activity,Kill,Indonesia,30,,300000,,300000,160000,37.74582208
1982-0094-IDN,1982,Natural,Geophysical,Volcanic activity,Affect,Indonesia,,,30000,,30000,,37.74582208
1982-0023-IDN,1982,Natural,Hydrological,Landslide,Kill,Indonesia,50,,,,,,37.74582208
1982-0067-IDN,1982,Natural,Hydrological,Landslide,Kill,Indonesia,225,,3000,,3000,,37.74582208
1982-0242-IDN,1982,Natural,Meteorological,Storm,Affect,Indonesia,2,123,,,123,,37.74582208
1982-0108-IDN,1982,Natural,Biological,Epidemic,Kill,Indonesia,39,,200,,200,,37.74582208
1982-0033-IDN,1982,Natural,Hydrological,Flood,Affect,Indonesia,,,25000,,25000,,37.74582208
1982-0062-IDN,1982,Natural,Hydrological,Flood,Affect,Indonesia,,,12500,,12500,,37.74582208
1982-0134-IDN,1982,Natural,Hydrological,Flood,Affect,Indonesia,3,,1500,,1500,,37.74582208
1982-0057-MMR,1982,Natural,Meteorological,Storm,Kill,Myanmar,11,,36000,,36000,,37.74582208
1982-0195-PHL,1982,Natural,Hydrological,Flood,Affect,Philippines (the),,,818,,818,60,37.74582208
1982-0180-PHL,1982,Natural,Hydrological,Flood,Kill,Philippines (the),18,,35,,35,,37.74582208
1982-0037-PHL,1982,Natural,Meteorological,Storm,Kill,Philippines (the),117,,16000,,16000,,37.74582208
