Dis No,Year,Seq,Disaster Group,Disaster Subgroup,Disaster Type,Disaster Subtype,Disaster Subsubtype,Event Name,Entry Criteria,Country,ISO,Region,Continent,Location,Origin,Associated Dis,Associated Dis2,OFDA Response,Appeal,Declaration,Aid Contribution,Dis Mag Value,Dis Mag Scale,Latitude,Longitude,Local Time,River Basin,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Reconstruction Costs ('000 US$),Insured Damages ('000 US$),Total Damages ('000 US$),CPI
1976-0043-IDN,1976,0043,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Wanena Region (Irian Jaya),,,,Yes,,,,7,Richter,-4.603,140.091,02:18,,1976,6,26,1976,6,26,420,,15000,,15000,,,25000,22.25960139
1976-0047-IDN,1976,0047,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Bali,,,,Yes,,,,7,Richter,-8.17,114.888,14:13,,1976,7,14,1976,7,14,573,4755,450000,,454755,,,195000,22.25960139
1976-0071-IDN,1976,0071,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Irian Jaya, Jayawijaya (New guinea)",,,,,,,,7,Richter,-4.517,139.918,09:51,,1976,10,29,1976,10,29,133,,7000,,7000,,,,22.25960139
1976-0171-IDN,1976,0171,Natural,Geophysical,Volcanic activity,Ash fall,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1976,,,1976,,,40,,,,,,,,22.25960139
1976-0073-IDN,1976,0073,Natural,Hydrological,Flood,Flash flood,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"East Java, Lumajang",,,,Yes,,,,,Km2,,,,,1976,11,13,1976,11,13,163,20,20000,,20020,,,,22.25960139
1976-0188-IDN,1976,0188,Natural,Meteorological,Storm,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1976,12,,1976,12,,25,,,,,,,,22.25960139
1977-0106-IDN,1977,0106,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Sumbaya, Lombok, Sumba (Nusa Tengarra Is.)",,Tsunami/Tidal wave,,,,,,8,Richter,-11.164,118.378,,,1977,8,19,1977,8,19,185,75,3900,,3975,,,1200,23.706851
1977-0251-IDN,1977,0251,Natural,Geophysical,Earthquake,Ground movement,,,OFDA,Indonesia,IDN,South-Eastern Asia,Asia,East Timor,,,,,No,No,,,Richter,,,,,1977,8,27,1977,8,27,2,25,,,25,,,,23.706851
1977-0091-IDN,1977,0091,Natural,Meteorological,Storm,Tropical cyclone,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Central Java,,,,,,,,,Kph,,,,,1977,7,30,1977,7,30,1,60,3000,,3060,,,,23.706851
1977-0013-IDN,1977,0013,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Jakarta,,,,,,,,,Vaccinated,,,,,1977,1,1,1977,1,1,37,,29942,,29942,,,,23.706851
1977-0138-IDN,1977,0138,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,East Java,,,,,,,,,Vaccinated,,,,,1977,12,,1977,12,,80,,,,,,,,23.706851
1977-0014-IDN,1977,0014,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Jakarta, East Java",,,,,,,,,Km2,,,,,1977,1,,1977,1,,10,,260000,,260000,,,,23.706851
1977-0043-IDN,1977,0043,Natural,Hydrological,Flood,,,,Affect,Indonesia,IDN,South-Eastern Asia,Asia,Central Java,,,,,,,,,Km2,,,,,1977,2,,1977,2,,,,25000,,25000,,,,23.706851
1977-0046-IDN,1977,0046,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"Bandung district, Java",,,,,,,,,Km2,,,,,1977,3,,1977,3,,12,,5000,,5000,,,,23.706851
1978-0038-IDN,1978,0038,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Simelu Island,,,,,,,,,Vaccinated,,,,,1978,3,,1978,3,,82,,,,,,,,25.51591532
1978-0088-IDN,1978,0088,Natural,Biological,Epidemic,Bacterial disease,,Cholera,Kill,Indonesia,IDN,South-Eastern Asia,Asia,Jakarta,,,,,,,,,Vaccinated,,,,,1978,7,,1978,7,,11,,70,,70,,,,25.51591532
1978-0014-IDN,1978,0014,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,East Java,,,,,,,,,Km2,,,,,1978,1,,1978,1,,41,,7000,,7000,,,,25.51591532
1978-0064-IDN,1978,0064,Natural,Hydrological,Flood,,,,Kill,Indonesia,IDN,South-Eastern Asia,Asia,"West Achem, North Sumatra",,,,,,,,,Km2,,,,,1978,5,,1978,5,,21,,8000,,8000,,,,25.51591532
1960-0015-PHL,1960,0015,Natural,Geophysical,Earthquake,Tsunami,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Nationwide,,,,,,,,,Richter,,,,,1960,5,22,1960,5,22,32,,,,,,,,11.56821608
1960-0047-PHL,1960,0047,Natural,Hydrological,Landslide,Landslide,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,,,,,,1960,1,,1960,1,,40,,,,,,,,11.56821608
1960-0012-PHL,1960,0012,Natural,Meteorological,Storm,Tropical cyclone,,Karen,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,South Wet of Manilla,,,,,,,,,Kph,,,,,1960,4,22,1960,4,22,56,,,,,,,2000,11.56821608
1960-0019-PHL,1960,0019,Natural,Meteorological,Storm,Tropical cyclone,,Lucille,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1960,5,24,1960,5,24,234,,,,,,,,11.56821608
1960-0020-PHL,1960,0020,Natural,Meteorological,Storm,Tropical cyclone,,Olive,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,South Luzon,,,,,,,,,Kph,,,,,1960,6,23,1960,6,23,100,,50000,,50000,,,,11.56821608
1960-0028-PHL,1960,0028,Natural,Meteorological,Storm,Tropical cyclone,,Kit,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Central, South Luzon",,,,,,,,,Kph,,,,,1960,10,3,1960,10,3,150,,375000,,375000,,,,11.56821608
1960-0029-PHL,1960,0029,Natural,Meteorological,Storm,Tropical cyclone,,Lola,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,Luzon,,,,,,,,,Kph,,,,,1960,10,8,1960,10,8,58,,,,,,,30000,11.56821608
1960-0053-PHL,1960,0053,Natural,Meteorological,Storm,,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1960,8,,1960,8,,33,,,,,,,,11.56821608
1962-0029-PHL,1962,0029,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1962,7,,1962,7,,41,,,,,,,,11.83224153
1962-0032-PHL,1962,0032,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1962,8,,1962,8,,156,,,,,,,,11.83224153
1962-0010-THA,1962,0010,Natural,Meteorological,Storm,Tropical cyclone,,Harriet,Kill,Thailand,THA,South-Eastern Asia,Asia,,,,,,,,,,Kph,,,,,1962,10,27,1962,10,27,769,,,,,,,19000,11.83224153
1963-0012-MMR,1963,0012,Natural,Meteorological,Storm,Tropical cyclone,,,Affect,Myanmar,MMR,South-Eastern Asia,Asia,Akyab,,,,,,,,,Kph,,,,,1963,5,25,1963,5,25,,,,200,200,,,,11.97891616
1963-0004-MMR,1963,0004,Natural,Biological,Epidemic,Bacterial disease,,Cholera,OFDA,Myanmar,MMR,South-Eastern Asia,Asia,,,,,,,,,,Vaccinated,,,,,1963,,,1963,,,,,,,,,,,11.97891616
1963-0017-PHL,1963,0017,Natural,Meteorological,Storm,Tropical cyclone,,Carmen,Affect,Philippines (the),PHL,South-Eastern Asia,Asia,North Luzon,,,,,,,,,Kph,,,,,1963,8,10,1963,8,10,1,,,2000,2000,,,,11.97891616
1964-0037-PHL,1964,0037,Natural,Meteorological,Storm,Tropical cyclone,,Winnie (Dading),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"South, Central Luzon",,,,Yes,,,,,Kph,,,,,1964,6,29,1964,6,29,56,163,924125,,924288,,,8000,12.13211749
1964-0065-PHL,1964,0065,Natural,Meteorological,Storm,Tropical cyclone,,Louise,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"North Mindanao, South Luzon",,,,Yes,,,,,Kph,,,,,1964,11,19,1964,11,19,580,1258,300000,,301258,,,35000,12.13211749
1965-0060-MMR,1965,0060,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,"South, Central",,,,Yes,,,,,Kph,,,,,1965,10,23,1965,10,23,100,,500000,,500000,,,1000,12.32443267
1965-0063-MMR,1965,0063,Natural,Hydrological,Flood,,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,Yamenthin district,,,,,,,,,Km2,,,,,1965,11,10,1965,11,10,34,,,,,,,,12.32443267
1965-0066-MYS,1965,0066,Natural,Hydrological,Flood,,,,Affect,Malaysia,MYS,South-Eastern Asia,Asia,Peninsular East coast,,,,Yes,,,,,Km2,,,,,1965,12,3,1965,12,3,6,,300000,,300000,,,1000,12.32443267
1965-0058-PHL,1965,0058,Natural,Geophysical,Volcanic activity,Ash fall,,Mt. Taal,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,Yes,,,,,,,,,,1965,9,28,1965,9,28,355,785,50000,8000,58785,,,10000,12.32443267
1965-0042-PHL,1965,0042,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Cotabato, Luzon",,,,,,,,,Kph,,,,,1965,7,12,1965,7,12,37,,,,,,,,12.32443267
1966-0064-LAO,1966,0064,Natural,Hydrological,Flood,Riverine flood,,,Kill,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,,,,,Yes,,,,,Km2,,,,,1966,8,25,1966,8,25,300,,70000,2000,72000,,,15300,12.69602817
1966-0091-PHL,1966,0091,Natural,Meteorological,Storm,Tropical cyclone,,Aning,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Visayas, South Luzon",,,,Yes,,,,,Kph,,,,,1966,12,28,1966,12,28,18,,196000,90000,286000,,,1000,12.69602817
1966-0067-THA,1966,0067,Natural,Hydrological,Flood,Riverine flood,,,Affect,Thailand,THA,South-Eastern Asia,Asia,Chiengrai to Ubon,,,,Yes,,,,,Km2,,,,,1966,9,,1966,9,,6,200,200000,5000,205200,,,1000,12.69602817
1967-0036-MMR,1967,0036,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,"Arakan Coast, West Irraw",,,,Yes,,,,,Kph,,,,,1967,5,16,1967,5,16,100,200,130000,,130200,,,5000,13.04806211
1967-0068-MMR,1967,0068,Natural,Meteorological,Storm,Tropical cyclone,,,Kill,Myanmar,MMR,South-Eastern Asia,Asia,"North West Coast-Akyab, Monywa",,,,Yes,,,,,Kph,,,,,1967,10,23,1967,10,23,178,,27319,,27319,,,3200,13.04806211
1967-0002-MYS,1967,0002,Natural,Hydrological,Flood,,,,Kill,Malaysia,MYS,South-Eastern Asia,Asia,"Kelantan, Trengganu",,,,Yes,,,,,Km2,,,,,1967,1,,1967,1,,50,,125000,15000,140000,,,25600,13.04806211
1967-0071-PHL,1967,0071,Natural,Meteorological,Storm,Tropical cyclone,,Emma (Welming),Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Samar Island, Visayas, Bicol, Southern Tagalog, Central Luzon",,,,Yes,,,,,Kph,,,,,1967,11,3,1967,11,3,107,,137000,,137000,,,26500,13.04806211
1968-0061-PHL,1968,0061,Natural,Geophysical,Earthquake,Ground movement,,,Kill,Philippines (the),PHL,South-Eastern Asia,Asia,"Luzon Is., Manila",,Tsunami/Tidal wave,,Yes,,,,,Richter,16.316,122.067,04:19,,1968,8,2,1968,8,2,271,261,,,261,,,5000,13.60544609
1968-0072-LAO,1968,0072,Natural,Hydrological,Flood,,,,Affect,Lao People's Democratic Republic (the),LAO,South-Eastern Asia,Asia,"South, along Mekong river",,,,Yes,,,,,Km2,,,,,1968,9,5,1968,9,5,2,,9000,600,9600,,,1280,13.60544609
